"power","mu","phi","profile","logu","lambda","status","terms","log_tail_error"
1.01,0.001,0.001,"strict",-27.6310211159285,1.08234273256324,"atom",0,0
1.01,0.001,0.001,"strict",-13.8155105579643,1.08234273256324,"atom",0,0
1.01,0.001,0.001,"strict",-4.60517018598809,1.08234273256324,"atom",0,0
1.01,0.001,0.001,"strict",-2.30258509299405,1.08234273256324,"atom",0,0
1.01,0.001,0.001,"strict",-0.693147180559945,1.08234273256324,"mixture",15,3.5527136788005e-15
1.01,0.001,0.001,"strict",-0.105360515657826,1.08234273256324,"mixture",15,1.96731519963578e-13
1.01,0.001,0.001,"strict",-0.0100503358535015,1.08234273256324,"mixture",15,1.86517468137026e-14
1.01,0.001,0.001,"strict",-1.00000050002909e-06,1.08234273256324,"mixture",17,1.4210854715202e-14
1.01,0.001,0.001,"strict",-1e-12,1.08234273256324,"mixture",22,1.51700874084781e-12
1.01,0.001,0.001,"strict",-1e-30,1.08234273256324,"mixture",34,3.92361698686727e-11
1.01,0.001,0.001,"strict",-1.08234272256324,1.08234273256324,"mixture",19,3.5527136788005e-15
1.01,0.001,0.001,"diagnostic",-27.6310211159285,1.08234273256324,"atom",0,0
1.01,0.001,0.001,"diagnostic",-13.8155105579643,1.08234273256324,"atom",0,0
1.01,0.001,0.001,"diagnostic",-4.60517018598809,1.08234273256324,"atom",0,0
1.01,0.001,0.001,"diagnostic",-2.30258509299405,1.08234273256324,"atom",0,0
1.01,0.001,0.001,"diagnostic",-0.693147180559945,1.08234273256324,"mixture",10,2.4105633489313e-08
1.01,0.001,0.001,"diagnostic",-0.105360515657826,1.08234273256324,"mixture",10,8.75762085073006e-09
1.01,0.001,0.001,"diagnostic",-0.0100503358535015,1.08234273256324,"mixture",11,3.08883514321678e-08
1.01,0.001,0.001,"diagnostic",-1.00000050002909e-06,1.08234273256324,"mixture",15,1.47323622279316e-06
1.01,0.001,0.001,"diagnostic",-1e-12,1.08234273256324,"mixture",20,4.9142823144166e-07
1.01,0.001,0.001,"diagnostic",-1e-30,1.08234273256324,"mixture",32,5.59445965109262e-08
1.01,0.001,0.001,"diagnostic",-1.08234272256324,1.08234273256324,"mixture",17,2.46030364081662e-07
1.01,0.001,0.001,"loose",-27.6310211159285,1.08234273256324,"atom",0,0
1.01,0.001,0.001,"loose",-13.8155105579643,1.08234273256324,"atom",0,0
1.01,0.001,0.001,"loose",-4.60517018598809,1.08234273256324,"atom",0,0
1.01,0.001,0.001,"loose",-2.30258509299405,1.08234273256324,"atom",0,0
1.01,0.001,0.001,"loose",-0.693147180559945,1.08234273256324,"mixture",8,3.49851259007217e-05
1.01,0.001,0.001,"loose",-0.105360515657826,1.08234273256324,"mixture",8,2.22126981608284e-06
1.01,0.001,0.001,"loose",-0.0100503358535015,1.08234273256324,"mixture",9,3.45055599204613e-06
1.01,0.001,0.001,"loose",-1.00000050002909e-06,1.08234273256324,"mixture",13,1.37388131236094e-05
1.01,0.001,0.001,"loose",-1e-12,1.08234273256324,"mixture",18,0.000123320459543663
1.01,0.001,0.001,"loose",-1e-30,1.08234273256324,"mixture",31,2.4735573020962e-06
1.01,0.001,0.001,"loose",-1.08234272256324,1.08234273256324,"mixture",15,0.000540491109003227
1.1,0.001,0.001,"strict",-27.6310211159285,2.2169581277432,"atom",0,0
1.1,0.001,0.001,"strict",-13.8155105579643,2.2169581277432,"atom",0,0
1.1,0.001,0.001,"strict",-4.60517018598809,2.2169581277432,"atom",0,0
1.1,0.001,0.001,"strict",-2.30258509299405,2.2169581277432,"atom",0,0
1.1,0.001,0.001,"strict",-0.693147180559945,2.2169581277432,"mixture",19,1.11022302462516e-16
1.1,0.001,0.001,"strict",-0.105360515657826,2.2169581277432,"mixture",19,8.248690619439e-11
1.1,0.001,0.001,"strict",-0.0100503358535015,2.2169581277432,"mixture",19,3.2500224733667e-11
1.1,0.001,0.001,"strict",-1.00000050002909e-06,2.2169581277432,"mixture",22,1.117204107004e-10
1.1,0.001,0.001,"strict",-1e-12,2.2169581277432,"mixture",28,9.2370555648813e-14
1.1,0.001,0.001,"strict",-1e-30,2.2169581277432,"mixture",43,2.8421709430404e-14
1.1,0.001,0.001,"strict",-2.2169581177432,2.2169581277432,"mixture",25,9.29887278289243e-11
1.1,0.001,0.001,"diagnostic",-27.6310211159285,2.2169581277432,"atom",0,0
1.1,0.001,0.001,"diagnostic",-13.8155105579643,2.2169581277432,"atom",0,0
1.1,0.001,0.001,"diagnostic",-4.60517018598809,2.2169581277432,"atom",0,0
